datum,sat,minut,restoran,broj_gostiju,jelo,status,ocena,termin,dan_u_nedelji,mesec
2026-04-13,20,0,Zlatna Ribica,3,Šopska salata,cancelled,3,2026-04-13 20:00:00,Monday,April
2026-06-29,12,0,Sonic Restaurant,2,Palačinke,completed,4,2026-06-29 12:00:00,Monday,June
2026-04-03,21,30,Stara Srpska Kuća,5,Baklava,confirmed,4,2026-04-03 21:30:00,Friday,April
2026-01-15,19,30,Zlatna Ribica,4,Pršuta i sir,cancelled,4,2026-01-15 19:30:00,Thursday,January
2026-04-17,20,0,Villa Nova,2,Grilovani list,confirmed,3,2026-04-17 20:00:00,Friday,April
2026-03-13,21,0,Rustika,2,Punjene pečurke,completed,5,2026-03-13 21:00:00,Friday,March
2026-07-08,13,30,Rustika,5,Punjene pečurke,completed,4,2026-07-08 13:30:00,Wednesday,July
2026-01-21,13,0,Trpeza Balkana,4,Karađorđeva šnicla,confirmed,5,2026-01-21 13:00:00,Wednesday,January
2026-04-13,20,30,Sonic Restaurant,4,Rižoto sa plodovima mora,confirmed,5,2026-04-13 20:30:00,Monday,April
2026-05-02,19,30,Trpeza Balkana,1,Baklava,confirmed,5,2026-05-02 19:30:00,Saturday,May
2026-03-16,20,0,Stara Srpska Kuća,6,Pileći medaljoni,confirmed,3,2026-03-16 20:00:00,Monday,March
2026-07-22,19,0,Zlatna Ribica,2,Grilovani list,confirmed,4,2026-07-22 19:00:00,Wednesday,July
2026-03-29,13,30,Zlatna Ribica,3,Palačinke,confirmed,5,2026-03-29 13:30:00,Sunday,March
2026-04-27,20,0,Stara Srpska Kuća,4,Karađorđeva šnicla,confirmed,4,2026-04-27 20:00:00,Monday,April
2026-04-10,18,0,Trpeza Balkana,4,Karađorđeva šnicla,completed,5,2026-04-10 18:00:00,Friday,April
2026-04-14,12,0,Rustika,2,Punjene pečurke,cancelled,4,2026-04-14 12:00:00,Tuesday,April
2026-06-01,13,0,Stara Srpska Kuća,2,Rižoto sa plodovima mora,confirmed,5,2026-06-01 13:00:00,Monday,June
2026-05-11,13,30,Rustika,4,Šopska salata,confirmed,5,2026-05-11 13:30:00,Monday,May
2026-05-30,20,30,Stara Srpska Kuća,5,Karađorđeva šnicla,confirmed,4,2026-05-30 20:30:00,Saturday,May
2026-02-22,20,30,Zlatna Ribica,2,Grilovani list,confirmed,4,2026-02-22 20:30:00,Sunday,February
2026-01-02,12,30,Sonic Restaurant,6,Karađorđeva šnicla,completed,3,2026-01-02 12:30:00,Friday,January
2026-03-29,21,0,Zlatna Ribica,4,Tiramisu,completed,4,2026-03-29 21:00:00,Sunday,March
2026-06-07,19,0,Villa Nova,5,Rižoto sa plodovima mora,completed,5,2026-06-07 19:00:00,Sunday,June
2026-02-07,20,30,Rustika,4,Rižoto sa plodovima mora,confirmed,4,2026-02-07 20:30:00,Saturday,February
2026-05-10,19,30,Trpeza Balkana,4,Karađorđeva šnicla,completed,4,2026-05-10 19:30:00,Sunday,May
2026-07-11,13,0,Stara Srpska Kuća,6,Karađorđeva šnicla,confirmed,5,2026-07-11 13:00:00,Saturday,July
2026-07-07,12,30,Rustika,2,Rižoto sa plodovima mora,cancelled,3,2026-07-07 12:30:00,Tuesday,July
2026-01-21,21,30,Stara Srpska Kuća,3,Karađorđeva šnicla,cancelled,4,2026-01-21 21:30:00,Wednesday,January
